#chr	start	end	value	options
rw9	32540544	32552628	443.4	stroke_color=dgreen
rw22	39021113	39033251	443.6	stroke_color=dgreen
rw3	27715949	27722715	443.6	stroke_color=dgreen
rw22	40044817	40335808	443.8	stroke_color=dgreen
rw17	41812262	41823217	443.9	stroke_color=dgreen
rw11	72080331	72110782	444	stroke_color=dgreen
rw15	50908625	51005900	444.1	stroke_color=dgreen
rw19	49388218	49417999	444.1	stroke_color=dgreen
rw15	34752441	34754581	444.5	stroke_color=dgreen
rw7	100177563	100214387	444.6	stroke_color=dgreen
rw2	134918822	134959345	444.8	stroke_color=dgreen
rw11	18606401	18634786	444.9	stroke_color=dgreen
rw19	1941149	1981338	444.9	stroke_color=dgreen
rw4	165207618	165323156	445	stroke_color=dgreen
rw7	87345635	87399796	445.1	stroke_color=dgreen
rw16	31427731	31428428	445.2	stroke_color=dgreen
rw12	29149003	29335616	445.3	stroke_color=dgreen
rw14	74902849	74923282	445.3	stroke_color=dgreen
rw8	17643794	17801220	445.4	stroke_color=dgreen
rw1	114392777	114511160	445.5	stroke_color=dgreen
rw1	179293714	179358680	445.6	stroke_color=dgreen
rw14	95407266	95410090	445.8	stroke_color=dgreen
rw4	7430294	7434973	445.8	stroke_color=dgreen
rw6	27824125	27824480	445.8	stroke_color=dgreen
rw1	231363751	231425044	446.2	stroke_color=dgreen
rw2	12007116	12578348	446.3	stroke_color=dgreen
rw1	155173787	155184971	446.6	stroke_color=dgreen
rw9	98288082	98709197	446.6	stroke_color=dgreen
rw11	65866441	65872934	446.7	stroke_color=dgreen
rw11	3217944	3218813	446.8	stroke_color=dgreen
rw9	34458752	34520989	446.8	stroke_color=dgreen
rw16	3135056	3142804	446.9	stroke_color=dgreen
rw4	176184574	176195671	447	stroke_color=dgreen
rw6	70413404	70561174	447.1	stroke_color=dgreen
rw1	155897808	155911402	447.4	stroke_color=dgreen
rw15	72114258	72140970	447.5	stroke_color=dgreen
rw10	73241954	73247331	447.7	stroke_color=dgreen
rw19	48190371	48256277	447.7	stroke_color=dgreen
rw2	183117490	183161684	447.7	stroke_color=dgreen
rw4	71187286	71572087	447.9	stroke_color=dgreen
rw12	112906934	112932049	448	stroke_color=dgreen
rw2	29097676	29183813	448	stroke_color=dgreen
rw21	46097606	46132849	448	stroke_color=dgreen
rw21	42371887	42396846	448	stroke_color=dgreen
rw1	6205775	6221299	448.1	stroke_color=dgreen
rw11	119121523	119135055	448.1	stroke_color=dgreen
rw13	20777329	20902774	448.1	stroke_color=dgreen
rw13	32586427	32778020	448.3	stroke_color=dgreen
rw19	32830511	32870167	448.3	stroke_color=dgreen
rw4	705748	770640	448.3	stroke_color=dgreen
rw2	37250502	37324772	448.7	stroke_color=dgreen
rw6	3118376	3153198	448.7	stroke_color=dgreen
rw1	43996483	44031492	448.8	stroke_color=dgreen
rw1	76867441	77069167	448.8	stroke_color=dgreen
rw2	152116801	152175992	448.8	stroke_color=dgreen
rw16	86530176	86555235	449	stroke_color=dgreen
rw20	45948653	45972194	449	stroke_color=dgreen
rw1	115976498	116070054	449.1	stroke_color=dgreen
rw12	124189946	124192209	449.1	stroke_color=dgreen
rw18	9334767	9402420	449.1	stroke_color=dgreen
rw19	8364127	8374375	449.1	stroke_color=dgreen
rw19	55577523	55580899	449.3	stroke_color=dgreen
rw16	56589355	56591088	449.5	stroke_color=dgreen
rw2	64092652	64144471	449.6	stroke_color=dgreen
rw4	8436316	8439065	449.9	stroke_color=dgreen
rw21	46458942	46584263	450.1	stroke_color=dgreen
rw16	67806656	67828068	450.2	stroke_color=dgreen
rw7	65836336	65959563	450.3	stroke_color=dgreen
rw11	116829908	116833071	450.4	stroke_color=dgreen
rw15	99565533	99716483	450.4	stroke_color=dgreen
rw16	89696357	89701713	450.4	stroke_color=dgreen
rw10	48306639	48439360	450.7	stroke_color=dgreen
rw14	74285277	74303064	450.7	stroke_color=dgreen
rw7	135361795	135510127	450.7	stroke_color=dgreen
rw9	128061233	128067321	450.8	stroke_color=dgreen
rw2	53767792	53775150	450.9	stroke_color=dgreen
rw16	30104810	30113943	451.1	stroke_color=dgreen
rw20	49812713	49892242	451.1	stroke_color=dgreen
rw11	62665263	62667451	451.2	stroke_color=dgreen
rw5	43120888	43176324	451.2	stroke_color=dgreen
rw16	57994668	58000684	451.3	stroke_color=dgreen
rw11	47248300	47269033	451.4	stroke_color=dgreen
rw16	729753	741038	451.4	stroke_color=dgreen
rw6	44126757	44155519	451.7	stroke_color=dgreen
rw16	28823048	28837237	452.1	stroke_color=dgreen
rw1	231528653	231566524	452.2	stroke_color=dgreen
rw2	95130110	95165187	452.2	stroke_color=dgreen
rw17	76736565	76804356	452.3	stroke_color=dgreen
rw22	24181476	24189106	452.3	stroke_color=dgreen
rw10	117280489	117375467	452.4	stroke_color=dgreen
rw1	53196429	53214197	452.5	stroke_color=dgreen
rw19	50188186	50310544	452.5	stroke_color=dgreen
rw19	7534152	7561767	452.6	stroke_color=dgreen
rw8	42271302	42332653	452.6	stroke_color=dgreen
rw11	124739933	124747206	452.7	stroke_color=dgreen
rw17	44141906	44162477	452.9	stroke_color=dgreen
rw3	138652698	138834938	453	stroke_color=dgreen
rw3	129087569	129122150	453	stroke_color=dgreen
rw20	37903097	37945350	453.5	stroke_color=dgreen
rw19	12247244	12294899	453.6	stroke_color=dgreen
rw5	60542152	60542577	453.7	stroke_color=dgreen
rw9	34551432	34590140	453.7	stroke_color=dgreen
rw17	78674047	78782342	453.9	stroke_color=dgreen
rw1	52142094	52346686	454.1	stroke_color=dgreen
rw17	1569254	1630018	454.2	stroke_color=dgreen
rw19	18637028	18670492	454.2	stroke_color=dgreen
rw8	406808	469876	454.3	stroke_color=dgreen
rw6	20099684	20212464	454.4	stroke_color=dgreen
rw11	66682496	66729237	454.7	stroke_color=dgreen
rw8	23841921	23854807	454.8	stroke_color=dgreen
rw7	128937737	128950042	454.9	stroke_color=dgreen
rw11	117179223	117197445	455	stroke_color=dgreen
rw11	119417945	119423536	455	stroke_color=dgreen
rw5	150586037	150659230	455.1	stroke_color=dgreen
rw22	19788411	19854939	455.2	stroke_color=dgreen
rw17	47844908	47876190	455.4	stroke_color=dgreen
rw4	112636964	112657592	455.4	stroke_color=dgreen
rw6	73241314	73310365	455.5	stroke_color=dgreen
rw19	45178745	45217078	455.7	stroke_color=dgreen
rw1	119031216	119140788	455.8	stroke_color=dgreen
rw11	114391448	114400550	455.8	stroke_color=dgreen
rw11	62615296	62622175	455.9	stroke_color=dgreen
rw6	57090010	57170305	456	stroke_color=dgreen
rw16	71626138	71641965	456.1	stroke_color=dgreen
rw2	38814	47115	456.4	stroke_color=dgreen
rw19	4522531	4535196	456.6	stroke_color=dgreen
rw5	140558268	140564604	456.7	stroke_color=dgreen
rw11	3855703	4093210	457.1	stroke_color=dgreen
rw20	14323993	14337667	457.1	stroke_color=dgreen
rw11	117199324	117204792	457.3	stroke_color=dgreen
rw5	66144218	66183616	457.4	stroke_color=dgreen
rw11	63759892	63768641	457.6	stroke_color=dgreen
rw14	55004755	55005763	457.6	stroke_color=dgreen
rw17	6578151	6641744	457.6	stroke_color=dgreen
rw17	38352124	38405593	457.6	stroke_color=dgreen
rw9	136881933	136926621	457.6	stroke_color=dgreen
rw11	2268498	2270952	457.9	stroke_color=dgreen
rw19	10928748	10930241	457.9	stroke_color=dgreen
rw11	19224063	19241655	458.1	stroke_color=dgreen
rw4	88457117	88506170	458.1	stroke_color=dgreen
rw9	137077465	137084538	458.2	stroke_color=dgreen
rw11	66362521	66372476	458.4	stroke_color=dgreen
rw3	149129584	149173518	458.4	stroke_color=dgreen
rw15	78104606	78131721	458.5	stroke_color=dgreen
rw19	496490	505343	458.6	stroke_color=dgreen
rw19	17226204	17229219	458.8	stroke_color=dgreen
rw20	6767694	6780263	458.8	stroke_color=dgreen
rw1	159171587	159203142	458.9	stroke_color=dgreen
rw13	32432488	32538885	459	stroke_color=dgreen
rw15	40354359	40371055	459	stroke_color=dgreen
rw5	170232552	170246231	459	stroke_color=dgreen
rw3	169769649	169789716	459.1	stroke_color=dgreen
rw6	43014103	43021298	459.1	stroke_color=dgreen
rw1	149940330	150010772	459.2	stroke_color=dgreen
rw10	5638857	5666595	459.2	stroke_color=dgreen
rw17	42535933	42544449	459.2	stroke_color=dgreen
rw4	75509860	75544102	459.3	stroke_color=dgreen
rw6	43037617	43053950	459.3	stroke_color=dgreen
rw15	73926448	73952137	459.7	stroke_color=dgreen
rw1	151279896	151281929	459.8	stroke_color=dgreen
rw7	71779491	72447151	459.8	stroke_color=dgreen
rw7	24573346	24693703	459.8	stroke_color=dgreen
rw1	117111055	117121789	459.9	stroke_color=dgreen
rw1	52423275	52553463	459.9	stroke_color=dgreen
rw4	122378966	122429815	459.9	stroke_color=dgreen
rw5	131641714	131797063	460.3	stroke_color=dgreen
rw1	237877864	237890922	460.4	stroke_color=dgreen
rw12	53973126	53976419	460.4	stroke_color=dgreen
rw13	46125923	46182324	460.5	stroke_color=dgreen
rw15	42273658	42353666	460.5	stroke_color=dgreen
rw15	64151698	64157481	460.6	stroke_color=dgreen
rw16	67182786	67183831	460.6	stroke_color=dgreen
rw22	24583750	24629005	460.6	stroke_color=dgreen
rw7	149714969	149734575	460.6	stroke_color=dgreen
rw20	33187392	33188293	460.7	stroke_color=dgreen
rw13	31162625	31171761	460.9	stroke_color=dgreen
rw3	53816297	53846393	461.1	stroke_color=dgreen
rw4	84669537	84966391	461.3	stroke_color=dgreen
rw16	20858074	20900239	461.5	stroke_color=dgreen
rw16	1363205	1414749	461.9	stroke_color=dgreen
rw18	33578577	33751195	461.9	stroke_color=dgreen
rw22	29073078	29168333	461.9	stroke_color=dgreen
rw19	4815924	4831742	462.1	stroke_color=dgreen
rw5	43602689	43705566	462.1	stroke_color=dgreen
rw18	7567316	8406861	462.4	stroke_color=dgreen
rw1	17249082	17284233	462.5	stroke_color=dgreen
rw22	41092610	41180077	462.9	stroke_color=dgreen
rw4	51843000	51916837	462.9	stroke_color=dgreen
rw10	5365013	5374206	463	stroke_color=dgreen
rw16	67674533	67719370	463.2	stroke_color=dgreen
rw17	50634843	50691704	463.2	stroke_color=dgreen
rw2	219209766	219218990	463.3	stroke_color=dgreen
rw16	87326987	87392107	463.5	stroke_color=dgreen
rw12	49623414	49644669	463.9	stroke_color=dgreen
rw18	36297696	36780059	463.9	stroke_color=dgreen
rw21	43529186	43659499	463.9	stroke_color=dgreen
rw11	4598672	4608259	464.1	stroke_color=dgreen
rw4	56337687	56389418	464.2	stroke_color=dgreen
rw9	129887187	130043194	464.2	stroke_color=dgreen
rw12	48147788	48157594	464.3	stroke_color=dgreen
rw17	3860315	3894891	464.3	stroke_color=dgreen
rw12	57797372	57819824	464.4	stroke_color=dgreen
rw9	34379019	34398577	464.5	stroke_color=dgreen
rw11	5453408	5454477	464.6	stroke_color=dgreen
rw1	183646275	183653313	464.7	stroke_color=dgreen
rw14	31025106	31096450	464.9	stroke_color=dgreen
rw19	49928702	49933936	464.9	stroke_color=dgreen
rw2	74654228	74694897	465.1	stroke_color=dgreen
rw5	126360096	126494364	465.1	stroke_color=dgreen
rw13	49247875	49293486	465.6	stroke_color=dgreen
rw6	34792017	34877514	465.8	stroke_color=dgreen
rw19	54107013	54115675	466	stroke_color=dgreen
rw2	149329985	149474148	466.4	stroke_color=dgreen
rw11	62712625	62727385	466.7	stroke_color=dgreen
rw14	80197525	80231054	466.7	stroke_color=dgreen
rw16	3953387	4116185	466.7	stroke_color=dgreen
rw19	51056206	51065110	466.9	stroke_color=dgreen
rw3	182793503	182921635	466.9	stroke_color=dgreen
rw1	11479238	11537583	467	stroke_color=dgreen
rw6	38168451	38640547	467	stroke_color=dgreen
rw12	100573646	100628288	467.2	stroke_color=dgreen
rw4	175632937	176002691	467.2	stroke_color=dgreen
rw7	112206588	112343934	467.2	stroke_color=dgreen
rw19	54353624	54370556	467.3	stroke_color=dgreen
rw1	93079235	93139081	467.4	stroke_color=dgreen
rw19	54643835	54670359	467.4	stroke_color=dgreen
rw3	48372175	48394791	467.4	stroke_color=dgreen
rw1	171185208	171212683	467.6	stroke_color=dgreen
rw1	171270963	171271588	467.6	stroke_color=dgreen
rw4	87160103	87220608	467.7	stroke_color=dgreen
rw3	149030117	149086554	467.9	stroke_color=dgreen
rw3	160567779	160569472	467.9	stroke_color=dgreen
rw5	65926465	66081023	468	stroke_color=dgreen
rw2	46489355	46542412	468.2	stroke_color=dgreen
rw7	92487023	92528531	468.4	stroke_color=dgreen
rw19	58418560	58457832	468.5	stroke_color=dgreen
rw8	23336208	23366125	468.5	stroke_color=dgreen
rw15	65442467	65517702	468.6	stroke_color=dgreen
rw22	30356638	30378383	468.6	stroke_color=dgreen
rw4	25120005	25160582	468.6	stroke_color=dgreen
rw7	66114818	66154568	468.6	stroke_color=dgreen
rw9	129036605	129072082	468.8	stroke_color=dgreen
rw18	63123346	63319778	469.2	stroke_color=dgreen
rw21	46690750	46691257	469.2	stroke_color=dgreen
rw20	62534032	62536728	469.3	stroke_color=dgreen
rw21	45288052	45297354	469.5	stroke_color=dgreen
rw9	127424374	127446964	469.7	stroke_color=dgreen
rw20	19242302	19284596	470.1	stroke_color=dgreen
rw11	5340479	5505652	470.3	stroke_color=dgreen
rw19	58059239	58069755	470.3	stroke_color=dgreen
rw3	28322353	28349424	470.4	stroke_color=dgreen
rw15	88511482	88546698	470.6	stroke_color=dgreen
rw19	12666804	12675832	470.6	stroke_color=dgreen
rw2	189746660	189763198	470.6	stroke_color=dgreen
rw3	43366326	43691594	470.7	stroke_color=dgreen
rw14	77274956	77320884	470.9	stroke_color=dgreen
rw17	75784839	75825805	470.9	stroke_color=dgreen
rw19	24033405	24129968	471.1	stroke_color=dgreen
rw18	75210755	75289950	471.2	stroke_color=dgreen
rw13	95019829	95301446	471.3	stroke_color=dgreen
rw14	57390553	57412748	471.4	stroke_color=dgreen
rw17	4932275	4935030	471.5	stroke_color=dgreen
rw9	99821855	99866893	471.6	stroke_color=dgreen
rw17	58083419	58090257	472.1	stroke_color=dgreen
rw2	32165841	32224112	472.1	stroke_color=dgreen
rw7	150737348	150743649	472.2	stroke_color=dgreen
rw1	159927039	159945596	472.3	stroke_color=dgreen
rw7	29645922	29685138	472.3	stroke_color=dgreen
rw1	160485030	160523262	472.9	stroke_color=dgreen
rw4	128653753	128662528	472.9	stroke_color=dgreen
rw19	10333776	10339829	473	stroke_color=dgreen
rw7	87876229	87909541	473.2	stroke_color=dgreen
rw6	143940300	144064599	473.3	stroke_color=dgreen
rw1	155063737	155069553	473.8	stroke_color=dgreen
rw14	77760830	77769742	473.9	stroke_color=dgreen
rw7	74083777	74122525	473.9	stroke_color=dgreen
rw3	44648741	44660791	474	stroke_color=dgreen
rw14	77320887	77331597	474.2	stroke_color=dgreen
rw17	17977781	18039169	474.2	stroke_color=dgreen
rw3	119523948	119559634	474.2	stroke_color=dgreen
rw2	26692713	26731198	474.4	stroke_color=dgreen
rw7	129611702	129757082	474.4	stroke_color=dgreen
rw7	87833568	87876377	474.5	stroke_color=dgreen
rw7	17298652	17346151	474.6	stroke_color=dgreen
rw13	38349771	38363007	474.7	stroke_color=dgreen
rw4	153307469	153308811	474.7	stroke_color=dgreen
rw4	165076078	165112913	474.8	stroke_color=dgreen
rw1	111414315	111427777	475.5	stroke_color=dgreen
rw10	25016579	25026664	475.5	stroke_color=dgreen
rw3	73382430	73624921	475.5	stroke_color=dgreen
rw3	149494660	149496003	475.5	stroke_color=dgreen
rw18	24426645	24453531	475.6	stroke_color=dgreen
rw19	41708611	41730433	475.6	stroke_color=dgreen
rw7	30548357	30577779	475.7	stroke_color=dgreen
rw2	229023973	229271341	475.8	stroke_color=dgreen
rw6	127266340	127288562	476	stroke_color=dgreen
rw1	26321859	26354130	476.2	stroke_color=dgreen
rw12	42157104	42238352	476.3	stroke_color=dgreen
rw3	39141851	39154597	476.3	stroke_color=dgreen
rw12	98613404	98645051	476.5	stroke_color=dgreen
rw7	90403334	90415954	476.7	stroke_color=dgreen
rw19	16829387	16880355	476.8	stroke_color=dgreen
rw10	96343216	96359365	476.9	stroke_color=dgreen
rw22	40370562	40410289	476.9	stroke_color=dgreen
rw10	113679162	113730909	477	stroke_color=dgreen
rw3	53283423	53347627	477.1	stroke_color=dgreen
rw2	174395729	174429575	477.2	stroke_color=dgreen
rw21	38229915	38303126	477.3	stroke_color=dgreen
rw19	38319814	38329014	477.5	stroke_color=dgreen
rw11	65116403	65117738	477.7	stroke_color=dgreen
rw5	39371674	39425233	477.8	stroke_color=dgreen
rw15	51938025	51971801	477.9	stroke_color=dgreen
rw5	141398128	141512979	477.9	stroke_color=dgreen
rw12	107317168	107659642	478.1	stroke_color=dgreen
rw2	241106099	241150364	478.1	stroke_color=dgreen
rw19	20923221	20950697	478.2	stroke_color=dgreen
rw11	87037844	87328834	478.5	stroke_color=dgreen
rw10	48985512	48985587	478.6	stroke_color=dgreen
rw6	41546426	41602384	478.6	stroke_color=dgreen
rw2	88170295	88186637	478.7	stroke_color=dgreen
rw3	112561709	112584439	478.7	stroke_color=dgreen
rw8	98371355	98942571	479.1	stroke_color=dgreen
rw12	44508275	44921848	479.2	stroke_color=dgreen
rw7	29563811	29567300	479.2	stroke_color=dgreen
rw19	52949379	52962911	479.3	stroke_color=dgreen
rw17	76389532	76453206	479.4	stroke_color=dgreen
rw3	50329786	50340936	479.6	stroke_color=dgreen
rw10	6393595	6580646	479.7	stroke_color=dgreen
rw12	51061205	51083671	479.7	stroke_color=dgreen
rw12	6946576	6961316	479.9	stroke_color=dgreen
rw1	205976740	206003495	480	stroke_color=dgreen
rw3	169966792	169998373	480.1	stroke_color=dgreen
rw12	108129343	108250537	480.2	stroke_color=dgreen
rw1	109687796	109693745	480.5	stroke_color=dgreen
rw17	57045478	57046795	480.5	stroke_color=dgreen
rw2	238244038	238290102	480.5	stroke_color=dgreen
rw14	64939152	64942905	480.7	stroke_color=dgreen
rw8	12186897	12204842	480.8	stroke_color=dgreen
rw2	61017677	61051990	480.9	stroke_color=dgreen
rw1	77088981	77219447	481	stroke_color=dgreen
rw1	91500814	91525764	481.3	stroke_color=dgreen
rw17	19904452	19977856	481.3	stroke_color=dgreen
rw17	3636468	3663103	481.3	stroke_color=dgreen
rw4	13296017	13484365	481.3	stroke_color=dgreen
rw22	24806221	24926846	481.6	stroke_color=dgreen
rw11	72836743	73142454	481.7	stroke_color=dgreen
rw19	51519530	51531863	481.7	stroke_color=dgreen
rw8	73294602	73325285	481.7	stroke_color=dgreen
rw16	1773228	1776238	481.8	stroke_color=dgreen
rw11	117205071	117232525	481.9	stroke_color=dgreen
rw18	35627436	35711834	481.9	stroke_color=dgreen
rw2	223755330	223837602	482.4	stroke_color=dgreen
rw6	87472925	87512339	482.4	stroke_color=dgreen
rw10	112446998	112855364	482.7	stroke_color=dgreen
rw14	81260650	81427404	482.7	stroke_color=dgreen
rw3	120165481	120285124	482.7	stroke_color=dgreen
rw7	27106190	27152581	483	stroke_color=dgreen
rw11	64917553	64934478	483.3	stroke_color=dgreen
rw17	7445087	7457613	483.3	stroke_color=dgreen
rw5	132294384	132344206	483.3	stroke_color=dgreen
rw3	56727418	57079308	483.8	stroke_color=dgreen
rw6	156777892	157210779	483.9	stroke_color=dgreen
rw10	46543963	46556947	484	stroke_color=dgreen
rw17	48026167	48048091	484	stroke_color=dgreen
rw18	35332214	35344462	484.1	stroke_color=dgreen
rw17	49289206	49362473	484.2	stroke_color=dgreen
rw21	37073254	37203107	484.2	stroke_color=dgreen
rw22	39399754	39437127	484.2	stroke_color=dgreen
rw5	142770380	143229007	484.2	stroke_color=dgreen
rw1	1614975	1630610	484.4	stroke_color=dgreen
rw2	240560054	240564014	484.4	stroke_color=dgreen
rw20	13389389	13638936	484.5	stroke_color=dgreen
rw2	60756230	60802086	484.8	stroke_color=dgreen
rw1	220690286	220699157	485	stroke_color=dgreen
rw14	55148116	55191678	485	stroke_color=dgreen
rw14	22986901	23010201	485.1	stroke_color=dgreen
rw20	33193605	33210462	485.1	stroke_color=dgreen
rw8	30729107	30767006	485.1	stroke_color=dgreen
rw11	32893178	32980270	485.3	stroke_color=dgreen
rw10	44370153	44385097	485.4	stroke_color=dgreen
rw5	41925252	42040228	485.4	stroke_color=dgreen
rw1	7784380	7845181	485.6	stroke_color=dgreen
rw17	55392613	55421993	485.6	stroke_color=dgreen
rw4	54100081	54101955	485.6	stroke_color=dgreen
rw9	101398808	101410660	485.6	stroke_color=dgreen
rw11	9664077	9752991	485.7	stroke_color=dgreen
rw15	64815630	64827154	485.9	stroke_color=dgreen
rw4	7965310	8158832	486	stroke_color=dgreen
rw15	44288616	44415761	486.1	stroke_color=dgreen
rw22	50343317	50445090	486.5	stroke_color=dgreen
rw16	88696495	88706421	486.6	stroke_color=dgreen
rw7	100015572	100045143	487	stroke_color=dgreen
rw15	40764087	40767713	487.1	stroke_color=dgreen
rw13	98142562	98449773	487.4	stroke_color=dgreen
rw3	25597905	25664905	487.5	stroke_color=dgreen
rw4	183098635	183320777	487.5	stroke_color=dgreen
rw6	13574274	13615158	487.5	stroke_color=dgreen
rw18	41955199	42084606	487.9	stroke_color=dgreen
rw14	50242434	50312389	488	stroke_color=dgreen
rw14	24171853	24180408	488	stroke_color=dgreen
rw7	150379301	150398635	488.1	stroke_color=dgreen
rw18	63587202	63599199	488.2	stroke_color=dgreen
rw22	21014451	21028013	488.2	stroke_color=dgreen
rw12	103965815	103988878	488.4	stroke_color=dgreen
rw8	22023708	22036897	488.4	stroke_color=dgreen
rw2	230034974	230068999	488.6	stroke_color=dgreen
rw3	14402576	14489349	488.7	stroke_color=dgreen
rw8	55738744	55773407	488.8	stroke_color=dgreen
rw15	49155759	49367894	489.2	stroke_color=dgreen
rw5	75368486	75511981	489.3	stroke_color=dgreen
rw11	126281893	126294933	489.5	stroke_color=dgreen
rw14	96392111	96489427	489.7	stroke_color=dgreen
rw20	4852356	5010293	489.7	stroke_color=dgreen
rw5	139341832	139369720	489.7	stroke_color=dgreen
rw12	106063347	106140033	490	stroke_color=dgreen
rw15	74748843	74756600	490	stroke_color=dgreen
rw11	34150987	34358008	490.2	stroke_color=dgreen
rw16	53491280	53504411	490.4	stroke_color=dgreen
rw15	63121800	63142065	490.5	stroke_color=dgreen
rw15	21289604	21297829	490.5	stroke_color=dgreen
rw7	148394137	148405726	490.6	stroke_color=dgreen
rw1	12230039	12512047	490.7	stroke_color=dgreen
rw8	38231343	38273885	490.7	stroke_color=dgreen
rw16	88651935	88663157	490.8	stroke_color=dgreen
rw22	26491927	26512496	490.9	stroke_color=dgreen
rw1	85649423	85708463	491	stroke_color=dgreen
rw14	95396170	95405078	491	stroke_color=dgreen
rw14	58427385	58548831	491.5	stroke_color=dgreen
rw17	34927859	34980919	491.7	stroke_color=dgreen
rw22	24583750	24629005	491.7	stroke_color=dgreen
rw10	110919543	111013667	491.8	stroke_color=dgreen
rw19	50976479	50984064	491.8	stroke_color=dgreen
rw3	149738470	149752510	491.8	stroke_color=dgreen
rw15	36579603	36810260	491.9	stroke_color=dgreen
rw6	132457524	132513198	492.1	stroke_color=dgreen
rw8	125024260	125091819	492.2	stroke_color=dgreen
rw21	39184176	39313819	492.5	stroke_color=dgreen
rw17	39156894	39166161	492.6	stroke_color=dgreen
rw15	42723557	42737219	492.7	stroke_color=dgreen
rw2	229357629	229714570	492.7	stroke_color=dgreen
rw3	45689262	45745409	492.7	stroke_color=dgreen
rw8	144827518	144847508	492.8	stroke_color=dgreen
rw7	100358003	100367831	493	stroke_color=dgreen
rw7	98215443	98252251	493	stroke_color=dgreen
rw11	66664994	66677921	493.4	stroke_color=dgreen
rw21	44646414	44647650	493.7	stroke_color=dgreen
rw3	52524369	52535077	493.9	stroke_color=dgreen
rw17	1761965	1777565	494.4	stroke_color=dgreen
rw6	137866317	137883314	494.5	stroke_color=dgreen
rw8	144051266	144064026	494.6	stroke_color=dgreen
rw2	108894471	108989372	495	stroke_color=dgreen
rw2	232406842	232410714	495.1	stroke_color=dgreen
rw6	43243484	43288259	495.1	stroke_color=dgreen
rw7	80134824	80219409	495.1	stroke_color=dgreen
rw9	99906633	99979337	495.2	stroke_color=dgreen
rw16	67893272	67929678	495.3	stroke_color=dgreen
rw7	105532085	105567678	495.3	stroke_color=dgreen
rw9	114603942	114646423	495.3	stroke_color=dgreen
rw19	50790415	50795224	495.5	stroke_color=dgreen
rw4	184627696	184649475	495.5	stroke_color=dgreen
rw11	118531088	118546598	495.7	stroke_color=dgreen
rw20	35558737	35607562	495.9	stroke_color=dgreen
rw16	1984149	1987749	496.1	stroke_color=dgreen
rw14	94016095	94048930	496.4	stroke_color=dgreen
rw1	149884460	149886682	496.5	stroke_color=dgreen
rw17	29625938	29930239	496.6	stroke_color=dgreen
rw16	57512178	57537130	496.7	stroke_color=dgreen
rw2	38067603	38076181	496.7	stroke_color=dgreen
rw2	72129238	72147862	496.7	stroke_color=dgreen
rw15	87874999	88256796	496.8	stroke_color=dgreen
rw1	156072013	156081998	496.9	stroke_color=dgreen
rw10	94545767	94602099	497	stroke_color=dgreen
rw12	57941541	57957269	497	stroke_color=dgreen
rw19	54448719	54462046	497	stroke_color=dgreen
rw12	68746148	68766073	497.2	stroke_color=dgreen
rw15	55318865	55355648	497.2	stroke_color=dgreen
rw14	105489855	105499248	497.3	stroke_color=dgreen
rw6	17600287	17611719	497.4	stroke_color=dgreen
rw9	128411575	128437351	497.5	stroke_color=dgreen
rw2	45005182	45009610	497.7	stroke_color=dgreen
rw3	128479422	128493187	497.9	stroke_color=dgreen
rw17	2303371	2325264	498	stroke_color=dgreen
rw19	10701436	10713367	498.2	stroke_color=dgreen
rw2	204545793	205620162	498.3	stroke_color=dgreen
rw10	124461772	124614141	498.4	stroke_color=dgreen
rw5	160401641	160419161	498.4	stroke_color=dgreen
rw2	189661399	189670831	498.7	stroke_color=dgreen
rw3	66378797	66501263	499.2	stroke_color=dgreen
rw17	57256570	57700477	499.3	stroke_color=dgreen
rw15	68277756	68295865	499.4	stroke_color=dgreen
rw17	76006845	76027452	499.7	stroke_color=dgreen
rw7	100159242	100168750	499.7	stroke_color=dgreen
rw19	18442663	18522129	499.8	stroke_color=dgreen
rw8	614737	731239	500	stroke_color=dgreen
rw2	96325324	96328353	500.2	stroke_color=dgreen
rw3	11603076	11605949	500.3	stroke_color=dgreen
rw1	11106531	11262557	500.4	stroke_color=dgreen
rw19	45001449	45038198	500.5	stroke_color=dgreen
rw19	47256474	47271953	500.6	stroke_color=dgreen
rw19	57191479	57222846	500.6	stroke_color=dgreen
rw1	112396178	112461164	500.7	stroke_color=dgreen
rw1	149899602	149900795	500.8	stroke_color=dgreen
rw15	74409289	74433958	501.1	stroke_color=dgreen
rw17	56978107	57006768	501.2	stroke_color=dgreen
rw11	115173625	115504523	501.4	stroke_color=dgreen
rw19	53503880	53580269	501.4	stroke_color=dgreen
rw3	48856923	48898993	501.6	stroke_color=dgreen
rw1	77281977	77559969	501.9	stroke_color=dgreen
rw19	15087066	15088133	501.9	stroke_color=dgreen
rw17	81681155	81683924	502	stroke_color=dgreen
rw2	47403067	47564579	502.2	stroke_color=dgreen
rw22	50530409	50532579	502.3	stroke_color=dgreen
rw3	124033339	124726325	502.3	stroke_color=dgreen
rw19	49422414	49426263	502.5	stroke_color=dgreen
rw1	44213432	44220679	502.6	stroke_color=dgreen
rw1	70144802	70205678	502.9	stroke_color=dgreen
rw4	75479037	75514744	502.9	stroke_color=dgreen
rw16	67723070	67806652	503.3	stroke_color=dgreen
rw17	75588058	75626849	503.3	stroke_color=dgreen
rw1	161706972	161714352	503.4	stroke_color=dgreen
rw2	132416161	132646596	503.5	stroke_color=dgreen
rw12	122167719	122203471	503.6	stroke_color=dgreen
