#rw	start	end	rv	start	end
rw19	51333740	51334077	rv19	51333361	51334207
rw17	39808006	39808323	rv17	39807426	39808650
rw12	52626870	52627104	rv12	52626954	52629456
rw12	53292047	53292432	rv12	53292075	53293251
rw12	53296167	53296779	rv12	53296127	53296924
rw21	31793116	31793412	rv21	31792980	31793535
rw12	118033214	118033492	rv12	118033075	118033612
rw12	118313757	118314142	rv12	118313134	118314335
rw13	44549531	44550175	rv13	44549706	44550483
rw1	183085154	183085479	rv1	183084836	183085739
rw20	9496482	9496670	rv20	9495908	9497679
rw5	153989714	153990045	rv5	153989264	153991397
rw10	102983525	102983853	rv10	102982218	102985154
rw10	102995229	102995763	rv10	102995679	102997593
rw1	32731436	32731946	rv1	32731461	32732300
rw2	30684693	30684933	rv2	30684498	30685104
rw9	139877541	139878298	rv9	139876643	139878561
rw9	139880968	139881405	rv9	139878769	139883198
rw13	46719780	46720023	rv13	46719604	46720165
rw15	66856796	66857267	rv15	66856526	66857390
rw6	33739769	33740043	rv6	33739202	33740912
rw19	54948707	54948934	rv19	54948228	54949189
rw7	127776617	127777264	rv7	127776139	127777587
rw1	66079150	66079481	rv1	66079046	66079575
rw7	2573110	2573706	rv7	2573267	2575035
rw7	2546904	2547181	rv7	2542064	2552125
rw7	2537475	2538185	rv7	2536930	2541895
rw1	202222961	202223446	rv1	202222218	202223526
rw1	202160002	202160349	rv1	202160099	202162018
rw6	63676053	63676401	rv6	63675926	63676523
rw7	104187425	104187681	rv7	104187301	104187737
rw9	124975756	124976262	rv9	124975172	124976395
rwX	25947990	25948243	rvX	25947880	25948385
rwX	26363649	26363941	rvX	26363505	26364068
rw1	113926803	113927142	rv1	113926438	113927231
rw1	114211162	114211556	rv1	114211039	114211636
rwX	49019357	49019592	rvX	49018773	49019701
rwX	49013325	49013560	rvX	49013040	49014518
rw10	19339083	19339322	rv10	19338900	19339435
rw10	19191804	19192084	rv10	19191662	19192331
rw9	139751959	139752249	rv9	139744195	139753952
rw9	139752375	139752948	rv9	139744195	139753952
rw6	136998272	136998631	rv6	136997864	136998727
rw2	102264172	102264416	rv2	102263969	102264667
rw18	48115686	48115979	rv18	48115439	48116110
rw22	51045240	51045660	rv22	51044829	51045981
rw16	1774381	1774621	rv16	1774025	1775067
rw1	206902906	206903170	rv1	206901838	206903181
rw17	44060675	44061021	rv17	44059827	44062226
rw4	164501972	164502259	rv4	164501843	164502387
rw19	8484407	8484737	rv19	8483942	8485276
rw12	58149520	58149959	rv12	58149367	58150195
rw22	45706360	45706534	rv22	45706238	45707541
rw7	23084967	23085290	rv7	23085097	23087286
rw9	130317619	130318075	rv9	130317613	130318139
rw8	138131784	138132170	rv8	138131707	138132380
rw10	61206384	61206688	rv10	61206285	61206741
rw5	177208034	177208445	rv5	177208060	177210792
rw15	82621822	82622110	rv15	82621167	82622771
rwX	68590316	68590579	rvX	68590226	68590756
rw4	152330516	152330720	rv4	152330241	152330912
rw5	119015142	119015452	rv5	119014991	119015623
rw10	126552789	126553098	rv10	126552408	126553170
rw2	97615508	97615929	rv2	97615430	97618406
rw12	50004293	50004629	rv12	50004094	50004911
rw3	43018310	43018598	rv3	43018086	43018743
rw22	48111658	48112139	rv22	48111430	48113407
rw1	47845548	47845735	rv1	47845467	47846626
rw6	1416230	1416627	rv6	1416116	1417055
rw14	29261499	29261797	rv14	29261198	29261941
rw14	28747079	28747305	rv14	28746861	28747383
rw14	28266334	28266757	rv14	28266098	28266843
rw6	108881396	108881807	rv6	108881804	108884170
rw4	144573347	144573610	rv4	144573281	144573662
rw9	86035873	86036119	rv9	86035708	86036449
rw14	52117102	52117394	rv14	52116918	52118063
rw5	52778547	52778762	rv5	52778317	52779086
rw19	35600671	35601101	rv19	35598809	35601113
rw10	36188397	36188763	rv10	36187919	36188882
rw14	30882825	30883249	rv14	30882621	30883318
rw22	17439852	17440099	rv22	17439671	17440374
rw4	46638068	46638346	rv4	46637784	46638461
rwX	151409936	151410262	rvX	151409910	151410608
rw5	160732015	160732246	rv5	160731867	160732482
rw7	99758178	99758631	rv7	99756948	99758737
rw2	155250303	155250563	rv2	155250122	155250660
rw2	154907876	154908099	rv2	154907700	154908198
rw2	26396592	26396923	rv2	26396468	26397497
rw8	11562035	11562472	rv8	11561189	11563175
rw15	45670308	45670547	rv15	45670497	45671269
rw9	136060715	136061086	rv9	136060669	136061343
rw9	79124527	79124911	rv9	79124300	79124986
rw20	42876286	42876826	rv20	42875577	42877097
rw10	48872128	48872419	rv10	48871964	48872562
rw19	18485445	18485845	rv19	18484874	18486253
rw8	95329684	95329955	rv8	95329546	95330043
rw1	92945779	92946252	rv1	92945596	92952821
rw8	21100913	21101102	rv8	21100836	21101450
rw6	55262081	55262364	rv6	55261672	55262449
rw22	38029029	38029387	rv22	38029015	38030765
rw22	25024406	25024825	rv22	25023068	25025760
rw22	25042835	25043218	rv22	25042048	25043497
rw22	22981173	22981385	rv22	22980678	22984045
rw22	22989943	22990230	rv22	22988625	22991315
rw10	84811371	84811670	rv10	84811100	84811779
rw5	42463736	42464012	rv5	42463526	42464247
rw1	78543623	78543883	rv1	78543289	78543987
rw17	27907573	27907858	rv17	27907426	27909422
rw1	35258126	35258354	rv1	35257806	35259088
rw15	35008926	35009280	rv15	35008865	35009417
rw3	141960660	141961119	rv3	141960470	141961150
rw7	7900052	7900337	rv7	7899996	7900544
rw4	175767177	175767466	rv4	175767024	175767587
rw11	58462462	58462737	rv11	58462315	58462956
rw9	80233586	80233874	rv9	80233525	80234225
rw22	23420756	23421185	rv22	23419915	23421535
rw22	19810348	19810721	rv22	19805166	19812877
rw5	180674516	180674775	rv5	180674034	180675199
rw9	36222102	36222526	rv9	36221869	36222666
rw9	36309289	36309583	rv9	36309143	36309958
rw5	141430722	141431213	rv5	141430525	141431328
rw15	22705583	22706225	rv15	22706025	22707841
rw15	22707139	22707772	rv15	22706025	22707841
rw15	82919149	82919437	rv15	82918654	82920115
rw15	30864509	30865329	rv15	30864150	30867015
rw15	30712359	30712547	rv15	30712370	30713140
rw15	30744094	30744371	rv15	30743958	30744614
rw1	155828513	155828721	rv1	155828289	155828859
rw22	19727077	19727472	rv22	19724091	19727669
rwX	132488638	132488948	rvX	132488501	132489149
rw16	25726364	25726658	rv16	25726220	25726779
rw16	1963736	1964169	rv16	1963607	1964665
rw2	129050164	129050479	rv2	129049678	129051301
rw2	129067711	129068120	rv2	129067010	129068197
rwY	20653976	20654186	rvY	20653851	20654464
rw6	31784880	31785475	rv6	31783121	31785515
rw7	75926843	75927143	rv7	75927035	75928008
rw4	3218493	3218761	rv4	3218301	3218927
rw2	203651123	203651429	rv2	203650805	203651547
rw15	90644765	90645125	rv15	90644298	90645337
rw12	6651602	6651961	rv12	6650431	6651980
rw9	21640151	21640334	rv9	21639858	21640524
rw3	185407478	185407753	rv3	185406896	185408003
rw3	117671204	117671537	rv3	117670957	117671601
rw1	67827982	67828268	rv1	67827601	67828414
rw13	21295352	21295785	rv13	21294516	21296545
rw2	113581188	113581580	rv2	113580894	113581749
rw2	102804775	102805098	rv2	102803304	102805147
rw3	136672904	136673128	rv3	136672566	136673157
rw9	6182374	6182875	rv9	6182402	6183482
rw13	27334409	27334755	rv13	27334135	27335369
rw4	22511344	22511657	rv4	22510392	22511841
rw12	12809494	12809775	rv12	12809128	12810349
rw8	142382415	142382801	rv8	142381311	142383817
rw8	142378527	142378803	rv8	142377444	142378905
rw6	110202260	110202552	rv6	110201298	110203030
rw1	100991310	100991521	rv1	100991065	100991841
rw12	13017651	13017945	rv12	13017410	13018077
rw4	90362368	90362641	rv4	90362204	90362907
rw9	139251887	139252115	rv9	139248462	139253487
rw22	47051530	47051933	rv22	47051447	47056378
rw17	19017035	19017382	rv17	19016696	19018174
rw15	33010918	33011261	rv15	33009401	33011800
rw10	88148559	88148780	rv10	88147768	88149137
rw7	2484705	2484974	rv7	2484706	2488992
rw21	31154003	31154329	rv21	31153868	31154754
rw11	120387981	120388275	rv11	120386810	120388658
rw19	42574321	42574715	rv19	42573900	42574749
rw9	140048228	140048856	rv9	140048036	140049471
rw17	72851093	72851401	rv17	72850582	72851524
rw19	48917026	48917443	rv19	48917182	48919690
rw9	104685274	104685577	rv9	104685057	104685703
rw7	85951448	85951755	rv7	85951330	85951883
rw6	34100329	34100619	rv6	34100299	34101683
rw6	34116057	34116367	rv6	34115653	34116375
rw4	71729533	71729774	rv4	71729226	71729917
rw22	19136050	19136350	rv22	19135653	19137180
rw3	119690500	119690733	rv3	119690418	119690916
rw16	12002306	12002666	rv16	12001921	12002988
rw4	54970255	54970530	rv4	54969530	54970629
rw5	69056730	69056896	rv5	69056589	69057146
rw1	154425181	154425352	rv1	154424756	154426078
rw5	55383955	55384170	rv5	55383426	55384431
rw2	86423200	86423732	rv2	86423310	86423819
rw6	77189264	77189577	rv6	77189096	77189650
rw2	121103680	121103980	rv2	121103796	121105483
rw10	134524753	134525171	rv10	134522829	134528831
rw19	7197439	7197592	rv19	7196808	7197944
rw1	153709022	153709405	rv1	153708743	153709602
rw13	98636256	98636523	rv13	98636100	98636702
rw1	46215128	46215463	rv1	46214966	46215754
rw12	113643346	113643781	rv12	113643034	113644134
rw1	156527113	156527636	rv1	156526162	156528670
rw3	13028614	13029001	rv3	13027383	13029049
rw3	13060344	13061049	rv3	13058807	13061862
rw7	73974951	73975377	rv7	73975101	73976245
rw7	73950743	73951159	rv7	73948224	73951932
rw7	74284377	74284789	rv7	74283624	74285156
rw7	74377760	74378286	rv7	74377322	74378292
rw7	74511295	74511556	rv7	74510970	74512562
rw2	197614642	197614999	rv2	197614095	197615087
rw2	189444988	189445232	rv2	189444810	189445433
rw11	45945264	45945555	rv11	45944524	45946543
rw1	226302014	226302631	rv1	226302104	226304513
rw10	115257945	115258166	rv10	115257842	115258476
rw5	153935598	153935993	rv5	153935670	153936254
rw8	122651558	122651823	rv8	122651285	122652331
rw16	226663	227526	rv16	226482	227807
rw16	222869	223708	rv16	222728	224010
rw3	13550354	13550766	rv3	13548879	13551202
rw3	13546784	13547172	rv3	13545445	13547838
rw17	42185567	42185970	rv17	42185933	42186610
rwX	71691936	71692221	rvX	71691766	71692328
rw14	31683285	31683486	rv14	31682954	31683693
rw12	112814092	112814285	rv12	112813704	112814940
rw12	112719921	112720095	rv12	112719782	112720287
rw2	197418822	197419027	rv2	197418600	197419250
rw15	64081283	64081703	rv15	64080785	64082025
rw4	89522904	89523216	rv4	89522758	89523544
rw5	73997890	73998206	rv5	73997739	73998447
rw7	81168319	81168630	rv7	81168211	81168687
rw22	21755086	21755686	rv22	21754626	21755904
rw5	130489823	130490082	rv5	130489558	130490420
rw5	130333047	130333377	rv5	130332941	130333508
rw11	33255383	33255771	rv11	33255264	33256186
rw6	26017688	26017972	rv6	26016401	26018899
rw6	27143466	27143759	rv6	27143307	27144065
rw10	70998132	70998455	rv10	70997883	70998568
rw6	29911898	29912194	rv6	29910153	29912304
rw6	32547602	32547870	rv6	32547496	32548008
rw9	133308254	133308735	rv9	133307440	133310033
rw5	149401407	149401625	rv5	149401334	149401710
rw4	8876600	8876906	rv4	8875344	8876909
rw1	23662278	23662597	rv1	23662116	23663319
rw4	57602926	57603203	rv4	57602581	57603541
rw7	27215413	27215859	rv7	27215041	27216369
rw7	27238556	27238837	rv7	27237860	27239248
rw7	27155197	27155587	rv7	27154746	27156114
rw17	46815321	46815694	rv17	46815632	46816984
rw12	54402425	54402693	rv12	54402452	54403907
rw1	33351924	33352315	rv1	33351151	33352442
rw10	100846129	100846386	rv10	100845990	100846554
rw9	35906344	35906823	rv9	35906038	35907123
rw20	60797915	60798359	rv20	60797280	60803206
rw15	78767125	78767327	rv15	78766956	78767545
rw5	150224658	150225041	rv5	150224515	150225599
rw16	54577979	54578340	rv16	54577660	54578547
rw16	54454131	54454410	rv16	54454029	54454723
rw1	156687746	156688046	rv1	156687363	156688426
rw1	156692165	156692531	rv1	156691941	156692951
rw15	74425032	74425219	rv15	74424536	74428104
rw16	47405721	47405875	rv16	47405648	47406194
rw12	2919974	2920313	rv12	2919827	2920812
rw2	173180143	173180860	rv2	173179596	173180927
rw17	73737691	73737935	rv17	73737753	73740766
rw3	52851550	52851782	rv3	52850601	52853728
rwX	78760235	78760486	rvX	78759959	78760651
rw1	226889070	226889288	rv1	226888703	226889537
rw10	106088173	106088592	rv10	106088406	106089410
rw9	24356457	24356728	rv9	24356277	24357019
rw4	129705716	129705976	rv4	129705387	129706116
rw14	24039780	24040468	rv14	24039403	24041434
rw11	97101790	97102065	rv11	97101671	97102299
rw1	59354092	59354413	rv1	59353987	59354738
rw6	149947451	149947761	rv6	149947252	149948328
rw8	1926956	1927295	rv8	1926210	1928181
rw7	32745433	32745708	rv7	32745295	32745835
rw7	32790396	32790764	rv7	32790247	32790830
rw19	49581984	49582282	rv19	49581563	49582712
rw1	6085637	6086056	rv1	6085236	6088018
rw12	75419978	75420297	rv12	75419919	75420381
rw1	210962026	210962317	rv1	210961990	210962494
rw7	150675887	150676070	rv7	150675982	150677516
rw7	150671344	150671676	rv7	150670579	150672245
rw2	95967506	95967671	rv2	95965071	95969593
rw2	96050133	96050351	rv2	96049242	96050529
rw4	21050560	21050872	rv4	21050357	21051072
rw17	21281082	21281494	rv17	21280420	21282145
rw21	39590601	39590859	rv21	39590532	39590929
rw10	78800897	78801225	rv10	78800730	78801508
rw4	121407615	121408049	rv4	121407613	121408151
rw19	494708	495116	rv19	494908	496725
rw20	39295602	39296052	rv20	39295419	39296709
rwX	151320274	151320575	rvX	151320201	151320747
rwX	148766596	148766906	rvX	148766449	148767035
rwX	25962828	25963123	rvX	25962755	25963275
rw1	154759594	154759913	rv1	154759555	154760596
rw2	18144730	18144962	rv2	18144455	18145913
rw8	112563064	112563473	rv8	112562956	112563718
rw8	25297627	25297961	rv8	25297472	25298033
rw1	202775889	202776368	rv1	202775854	202776752
rw8	136548893	136549180	rv8	136548700	136549397
rw8	136972015	136972276	rv8	136971828	136972443
rw8	137716834	137717121	rv8	137716646	137717298
rw8	137696789	137697111	rv8	137696678	137697278
rw19	34835279	34835542	rv19	34835064	34836234
rw14	35618104	35618492	rv14	35617978	35618657
rw15	79911634	79911845	rv15	79911482	79912058
rw4	123115041	123115253	rv4	123114924	123115506
rw7	141369614	141369925	rv7	141369508	141370181
rw7	86717152	86717572	rv7	86717157	86717701
rw7	138526949	138527385	rv7	138526948	138527520
rw2	176648807	176649184	rv2	176648750	176649297
rw2	241701361	241701667	rv2	241699432	241703115
rw2	241726624	241726920	rv2	241726192	241727009
rw5	61293524	61293947	rv5	61293347	61294221
rw17	51807323	51807632	rv17	51807141	51807793
rw1	204151211	204151449	rv1	204150906	204151842
rw6	43035384	43035890	rv6	43035168	43036867
rwX	56061267	56061487	rvX	56061145	56061716
rw1	205311913	205312186	rv1	205311918	205313744
rw1	205325649	205326069	rv1	205325465	205326782
rw15	86332487	86332673	rv15	86332398	86333843
rw17	60866125	60866431	rv17	60865803	60866602
rw6	114136651	114136940	rv6	114136483	114137209
rw19	49172325	49173014	rv19	49172189	49174939
rw9	87503924	87504208	rv9	87503819	87504540
rw7	44466207	44466459	rv7	44465867	44466615
rw14	105643765	105644234	rv14	105640374	105646839
rw13	45523359	45523610	rv13	45523229	45523877
rw13	45529942	45530326	rv13	45529818	45530466
rw4	41428056	41428386	rv4	41427830	41428501
rw14	74568161	74568378	rv14	74568050	74568657
rw15	77910920	77911139	rv15	77910233	77911295
rw15	78088093	78088675	rv15	78087903	78088985
rw3	8519626	8519929	rv3	8519467	8520064
rw9	25977740	25978040	rv9	25977642	25978303
rw5	55931815	55932145	rv5	55931717	55932302
rw9	98799035	98799332	rv9	98798906	98799750
rw4	2441869	2442182	rv4	2441416	2443206
rw5	131155464	131155953	rv5	131155294	131156093
rw16	60490794	60491152	rv16	60490704	60491391
rw12	7137256	7137748	rv12	7136504	7138099
rw19	14261354	14261850	rv19	14260814	14262731
rw18	3012400	3012834	rv18	3012424	3012939
rw7	133810532	133810779	rv7	133810305	133810971
rw8	105882271	105882536	rv8	105882114	105882635
rw2	142622872	142623146	rv2	142622725	142623313
rw2	141585750	141586184	rv2	141585782	141586437
rw11	46919363	46919645	rv11	46918950	46922692
rw11	46918957	46919309	rv11	46918950	46922692
rw22	25795103	25795395	rv22	25794748	25797602
rw6	25585925	25586097	rv6	25585949	25587335
rw15	99829855	99830173	rv15	99829759	99830533
rw21	45879435	45879960	rv21	45879760	45880662
rw16	67389297	67389491	rv16	67389189	67389918
rw16	67360775	67361184	rv16	67360732	67361550
rw1	100646198	100646508	rv1	100645921	100646571
rw3	120066258	120066551	rv3	120066118	120066719
rw1	90150706	90150909	rv1	90150529	90151152
rw8	85928843	85929169	rv8	85928667	85929264
rw8	86037581	86037887	rv8	86037410	86038003
rw2	238581816	238582054	rv2	238581792	238582843
rw3	37231293	37231700	rv3	37230959	37231752
rw1	73768802	73769079	rv1	73768665	73769255
rw12	40618432	40618833	rv12	40618220	40619098
rw7	110107045	110107298	rv7	110106868	110107411
rw7	110081865	110082076	rv7	110081728	110082327
rw2	77577162	77577487	rv2	77577040	77577618
rw2	77357980	77358311	rv2	77357591	77358472
rw19	35757767	35757994	rv19	35756937	35758434
rw12	6494912	6495109	rv12	6493724	6495817
rw8	79339991	79340306	rv8	79339763	79340460
rw12	32963647	32963910	rv12	32963583	32963997
rw22	38568588	38568959	rv22	38568535	38569477
rw22	38524508	38524687	rv22	38516283	38524741
rw3	38070290	38070739	rv3	38070057	38071127
rw10	95853700	95854000	rv10	95853559	95854173
rw19	49351457	49351685	rv19	49351100	49352099
rw11	16836251	16836621	rv11	16836276	16837170
rw16	67313296	67313652	rv16	67313378	67314221
rw5	57632184	57632450	rv5	57632091	57632599
rw10	20061313	20061555	rv10	20061137	20061624
rw6	89876024	89876360	rv6	89875787	89876436
rw20	56408592	56409487	rv20	56408423	56410118
rw7	5994594	5994764	rv7	5994450	5994994
rw19	46956164	46956442	rv19	46955888	46957172
rw5	75026930	75027223	rv5	75026606	75027265
rw3	127387116	127387401	rv3	127386334	127387786
rw3	121220086	121220496	rv3	121219888	121220940
rw3	184083484	184083746	rv3	184083117	184083948
rw7	102323454	102323861	rv7	102323376	102324648
rw7	102312584	102313079	rv7	102310807	102313109
rw7	102321336	102322028	rv7	102320503	102323227
rw7	102181442	102182818	rv7	102181126	102183735
rw16	22327939	22328233	rv16	22327570	22329109
rw16	62024	62371	rv16	61622	62642
rw7	76476217	76476498	rv7	76476145	76476653
rw12	121022065	121022628	rv12	121021938	121023629
rw7	75555614	75556044	rv7	75555564	75556237
rw7	125723836	125724131	rv7	125723846	125724402
rw7	125265147	125265468	rv7	125265018	125265546
rw8	43221536	43221753	rv8	43221366	43222033
rw6	6716213	6716509	rv6	6716084	6716604
rw2	99931397	99931817	rv2	99931146	99931924
rw19	43955299	43955603	rv19	43955093	43955915
rw8	54971877	54972168	rv8	54971712	54972315
rw10	29661429	29661766	rv10	29661235	29661818
rw3	42490235	42490596	rv3	42490152	42490822
rw22	21352503	21352693	rv22	21350741	21353269
rw1	39650784	39651106	rv1	39650416	39651177
rw1	39690773	39691186	rv1	39690711	39691428
rw6	114064250	114064718	rv6	114064223	114064996
rw12	57900667	57900903	rv12	57900885	57902726
rw2	198557742	198558016	rv2	198557520	198558652
rw19	6987554	6987785	rv19	6987220	6987994
rw13	97904171	97904414	rv13	97903983	97904521
rw6	20102057	20102374	rv6	20101776	20102646
rw18	74829622	74830130	rv18	74829563	74831595
rw1	150560332	150560837	rv1	150560240	150561293
rw3	127330572	127330814	rv3	127330012	127331177
rw22	35809052	35809379	rv22	35808219	35809640
rw5	94535384	94535677	rv5	94535362	94535969
rw5	94430754	94431027	rv5	94430612	94431193
rw15	94744675	94745051	rv15	94744599	94745180
rwX	153343534	153344057	rvX	153343399	153344335
rw12	116513708	116513958	rv12	116513565	116514166
rw1	156440796	156441083	rv1	156440672	156441436
rw22	42147875	42148102	rv22	42147312	42148146
rw22	42181934	42182237	rv22	42180527	42182397
rw19	47902607	47902956	rv19	47902523	47903773
rw2	32090915	32091173	rv2	32090847	32091331
rw17	81122457	81122997	rv17	81122361	81123898
rw17	81143241	81143420	rv17	81142249	81143668
rw4	119559308	119559891	rv4	119558475	119560207
rw17	2327427	2327857	rv17	2327340	2328511
rw17	74726960	74727275	rv17	74726689	74727420
rw7	128158893	128159414	rv7	128158908	128160618
rw7	128129717	128129966	rv7	128128735	128130153
rw16	21523861	21524400	rv16	21522681	21525723
rw1	12051703	12051968	rv1	12051313	12052848
rw2	191295138	191295356	rv2	191295295	191296567
rw15	42017747	42018066	rv15	42017663	42018078
rw22	39843186	39843488	rv22	39840431	39843710
rw20	17990363	17990780	rv20	17990388	17991827
rw22	38318074	38318417	rv22	38316226	38319983
rwX	38757113	38757346	rvX	38756963	38757519
rw3	69677250	69677641	rv3	69677017	69677791
rw10	129935565	129935919	rv10	129935448	129936006
rw7	140166282	140166621	rv7	140166099	140167024
rw6	168059340	168059799	rv6	168059141	168059869
rw13	49789806	49790116	rv13	49789628	49790419
rw12	122607565	122607783	rv12	122605311	122608002
rw3	154574644	154574932	rv3	154574392	154575092
rw8	89392242	89392512	rv8	89392189	89392584
rw11	102471851	102472164	rv11	102471755	102472284
rw16	3096903	3097431	rv16	3096296	3098202
rw17	34121235	34121648	rv17	34120757	34122488
rw10	88685508	88685746	rv10	88685255	88686291
rw6	97884487	97884751	rv6	97884320	97884864
rw19	2090028	2090352	rv19	2089811	2092266
rw5	52484745	52485102	rv5	52484606	52485240
rw2	74690974	74691273	rv2	74690615	74691646
rw12	122121185	122121751	rv12	122120859	122121776
rw22	50553061	50553392	rv22	50552248	50553493
rw6	132697590	132697948	rv6	132697507	132698155
rw17	16923419	16923745	rv17	16923126	16925201
rw19	18306458	18307034	rv19	18305719	18307300
rw1	161275018	161275689	rv1	161275014	161276502
rw11	3292942	3293131	rv11	3292610	3293425
rw19	10361005	10361375	rv19	10360880	10361787
rw1	150269383	150269709	rv1	150269239	150270050
rw20	3037873	3038363	rv20	3037615	3038406
rw8	80859971	80860251	rv8	80859805	80860552
rw5	44867893	44868306	rv5	44867807	44868404
rw13	41309642	41310251	rv13	41308750	41310395
rw2	95755662	95755950	rv2	95755336	95756459
rw11	10637109	10637405	rv11	10637209	10638014
rw5	80039385	80039650	rv5	80039131	80039852
rw4	4867890	4868282	rv4	4867272	4869693
rw7	136103938	136104548	rv7	136104301	136105172
rw4	100497454	100497848	rv4	100497427	100497958
rw3	195556603	195556813	rv3	195556489	195557135
rw11	65632657	65633351	rv11	65631652	65633638
rw9	129263403	129263973	rv9	129262796	129268016
rw12	110044797	110045236	rv12	110042910	110045420
rw21	42731140	42731452	rv21	42731057	42731691
rw8	128642453	128642713	rv8	128642140	128643024
rw1	39336243	39336443	rv1	39335528	39336956
rw2	15996886	15997230	rv2	15996704	15997417
rw2	16136393	16136665	rv2	16136294	16136842
rw2	16251131	16251489	rv2	16250930	16251723
rw2	16083041	16083309	rv2	16081263	16083798
rw17	10230269	10230611	rv17	10230283	10230799
rw19	50764666	50765033	rv19	50764614	50766917
rw2	211234556	211234859	rv2	211234458	211235197
rw7	101338021	101338386	rv7	101337477	101338871
rw17	34856661	34856911	rv17	34856461	34857204
rw19	8608631	8608861	rv19	8608368	8609659
rw19	46404527	46404955	rv19	46404219	46405560
rw19	46405080	46405348	rv19	46404219	46405560
rw19	46399861	46400202	rv19	46398877	46400573
rw19	46399470	46399810	rv19	46398877	46400573
rw16	48665370	48665644	rv16	48664965	48665771
rw16	48573457	48573659	rv16	48572130	48574670
rw4	80205804	80206015	rv4	80205643	80206133
rw4	140268981	140269190	rv4	140268595	140269806
rw2	191581718	191581932	rv2	191581582	191582267
rw9	138985838	138986166	rv9	138981938	138986619
rw16	5077103	5077267	rv16	5077141	5079504
rw1	201770974	201771460	rv1	201770893	201772021
rw12	77908705	77908970	rv12	77908659	77909082
rw12	78394321	78394602	rv12	78394192	78394844
rw1	19972527	19973119	rv1	19971613	19973288
rw1	144566594	144566879	rv1	144566481	144566953
rw1	145152293	145152597	rv1	145152172	145152876
rw1	145170623	145170918	rv1	145170447	145170956
rw8	103062111	103062426	rv8	103061964	103062554
rw12	6615100	6615428	rv12	6615152	6616073
rw2	183835850	183836154	rv2	183835630	183836302
rw12	50221347	50221765	rv12	50220958	50222235
rw10	51573051	51573221	rv10	51572853	51573501
rw6	41403963	41404391	rv6	41403552	41405056
rw11	17373032	17373245	rv11	17372930	17374360
rw17	8342342	8342605	rv17	8341965	8342925
rw15	23999656	23999806	rv15	23999395	23999968
rwX	43839462	43839642	rvX	43839205	43839874
rw14	21536178	21536462	rv14	21535866	21536602
rw4	116217900	116218143	rv4	116217743	116218363
rw4	116555911	116556156	rv4	116555776	116556327
rw2	240958958	240959224	rv2	240958910	240959274
rw19	5895185	5895519	rv19	5893595	5898436
rw12	57629363	57629695	rv12	57628262	57631480
rw2	201947470	201947730	rv2	201947343	201947864
rw18	9036110	9036366	rv18	9035971	9036658
rw12	8247844	8248090	rv12	8247621	8248341
rw1	16801792	16802049	rv1	16801808	16804361
rw15	56295209	56295480	rv15	56295026	56295601
rw18	55801608	55801908	rv18	55801287	55802079
rw18	55671148	55671427	rv18	55671081	55671539
rw4	178156863	178157120	rv4	178156825	178157182
rw4	178109668	178109969	rv4	178109509	178110171
rw13	52848879	52849753	rv13	52849103	52849968
rw15	73359883	73360309	rv15	73359720	73360316
rw5	172068311	172068652	rv5	172068606	172069401
rw16	69721798	69722104	rv16	69721667	69722466
rw16	68146536	68146775	rv16	68145968	68146919
rw4	103436243	103436557	rv4	103436190	103436704
rw2	233842134	233842739	rv2	233841825	233842773
rw2	219967513	219967772	rv2	219967008	219968353
rw9	95892831	95893180	rv9	95892188	95894904
rw12	730903	731141	rv12	730757	731715
rw15	23378068	23378347	rv15	23377617	23379655
rw15	23444198	23444455	rv15	23443692	23445492
rw5	156887070	156887510	rv5	156887088	156887593
rw3	52508307	52508704	rv3	52508114	52508810
rw8	23566955	23567494	rv8	23566762	23568648
rw8	23491357	23491552	rv8	23491244	23491850
rw4	85402749	85403266	rv4	85402076	85405464
rw3	173959494	173959771	rv3	173959342	173960207
rw3	173569889	173570157	rv3	173569768	173570252
rw22	38086556	38087005	rv22	38086512	38087721
rw16	67208686	67209009	rv16	67208480	67209413
rw20	31061736	31062179	rv20	31059697	31065291
rw2	73430737	73431191	rv2	73429035	73431514
rw15	24839320	24839641	rv15	24839172	24839708
rw16	21492556	21492774	rv16	21491889	21493068
rw4	106933840	106934136	rv4	106933562	106934300
rw7	25394697	25394877	rv7	25394571	25395314
rw6	3000572	3001007	rv6	3000158	3001425
rw3	24136104	24136654	rv3	24136169	24137057
rw5	92677154	92677587	rv5	92677008	92677611
rw15	96875001	96875189	rv15	96874918	96875901
rw5	143000846	143001223	rv5	143000567	143001335
rw12	52447473	52447897	rv12	52447879	52450539
rw9	127457591	127457939	rv9	127457551	127458050
rw10	64784940	64785283	rv10	64784631	64785385
rw21	16710120	16710449	rv21	16709985	16710528
rw10	33460791	33461102	rv10	33460621	33461233
rw10	33492654	33492886	rv10	33492534	33493046
rw19	41153286	41153612	rv19	41153550	41155321
rw6	17741461	17741715	rv6	17741348	17742077
rw3	13406518	13406920	rv3	13406693	13408015
rw6	118110958	118111225	rv6	118110839	118111383
rw10	89094351	89094512	rv10	89094060	89094691
rw10	81471536	81471957	rv10	81469078	81472011
rwX	101036675	101037053	rvX	101036643	101037294
rw15	65027799	65027999	rv15	65027093	65028201
rw15	28321766	28322030	rv15	28321546	28322305
rw15	76023014	76023255	rv15	76022668	76025424
rw10	15067979	15068203	rv10	15067300	15068404
rw21	34444320	34444594	rv21	34443367	34444639
rw1	58927807	58928053	rv1	58927572	58928190
